iter 217000:, hard_loss_metric=0.00000288, full_loss_metric=0.00018447, full_loss_num=0.01537109, mean_dist=5.72746897, lr=0.000100, hard or full='full'
iter 217200:, hard_loss_metric=0.00000155, full_loss_metric=0.00010895, full_loss_num=0.00412109, mean_dist=5.72883654, lr=0.000100, hard or full='full'
iter 217400:, hard_loss_metric=0.00000453, full_loss_metric=0.00029714, full_loss_num=0.01617187, mean_dist=5.75022697, lr=0.000100, hard or full='full'
iter 217600:, hard_loss_metric=0.00000129, full_loss_metric=0.00012363, full_loss_num=0.00294922, mean_dist=5.74167824, lr=0.000100, hard or full='full'
iter 217800:, hard_loss_metric=0.00001214, full_loss_metric=0.00079688, full_loss_num=0.05027344, mean_dist=5.76944113, lr=0.000100, hard or full='full'
iter 218000:, hard_loss_metric=0.00000097, full_loss_metric=0.00008589, full_loss_num=0.00263672, mean_dist=5.73955345, lr=0.000100, hard or full='full'
iter 218200:, hard_loss_metric=0.00000174, full_loss_metric=0.00013215, full_loss_num=0.00576172, mean_dist=5.72373247, lr=0.000100, hard or full='full'
iter 218400:, hard_loss_metric=0.00000160, full_loss_metric=0.00011782, full_loss_num=0.00669922, mean_dist=5.77040291, lr=0.000100, hard or full='full'
iter 218600:, hard_loss_metric=0.00000089, full_loss_metric=0.00007955, full_loss_num=0.00152344, mean_dist=5.76876354, lr=0.000100, hard or full='full'
iter 218800:, hard_loss_metric=0.00000159, full_loss_metric=0.00011026, full_loss_num=0.00441406, mean_dist=5.76231432, lr=0.000100, hard or full='full'
iter 219000:, hard_loss_metric=0.00000072, full_loss_metric=0.00006004, full_loss_num=0.00181641, mean_dist=5.74606323, lr=0.000100, hard or full='full'
iter 219200:, hard_loss_metric=0.00000217, full_loss_metric=0.00014822, full_loss_num=0.00708984, mean_dist=5.77322769, lr=0.000100, hard or full='full'
iter 219400:, hard_loss_metric=0.00000099, full_loss_metric=0.00007876, full_loss_num=0.00238281, mean_dist=5.76817513, lr=0.000100, hard or full='full'
iter 219600:, hard_loss_metric=0.00000188, full_loss_metric=0.00013270, full_loss_num=0.00882812, mean_dist=5.76168203, lr=0.000100, hard or full='full'
iter 219800:, hard_loss_metric=0.00000251, full_loss_metric=0.00016091, full_loss_num=0.00693359, mean_dist=5.78349972, lr=0.000100, hard or full='full'
0:25:46.951653
iter 220000:, hard_loss_metric=0.00000039, full_loss_metric=0.00003330, full_loss_num=0.00076172, mean_dist=5.77396917, lr=0.000100, hard or full='full'
iter 220200:, hard_loss_metric=0.00000114, full_loss_metric=0.00008596, full_loss_num=0.00279297, mean_dist=5.75818777, lr=0.000100, hard or full='full'
iter 220400:, hard_loss_metric=0.00000385, full_loss_metric=0.00024326, full_loss_num=0.01134766, mean_dist=5.75846195, lr=0.000100, hard or full='full'
iter 220600:, hard_loss_metric=0.00000160, full_loss_metric=0.00011718, full_loss_num=0.00683594, mean_dist=5.74891806, lr=0.000100, hard or full='full'
iter 220800:, hard_loss_metric=0.00000229, full_loss_metric=0.00014787, full_loss_num=0.00720703, mean_dist=5.77524424, lr=0.000100, hard or full='full'
iter 221000:, hard_loss_metric=0.00000070, full_loss_metric=0.00005201, full_loss_num=0.00158203, mean_dist=5.75727797, lr=0.000100, hard or full='full'
iter 221200:, hard_loss_metric=0.00000070, full_loss_metric=0.00005239, full_loss_num=0.00173828, mean_dist=5.78415775, lr=0.000100, hard or full='full'
iter 221400:, hard_loss_metric=0.00000230, full_loss_metric=0.00015015, full_loss_num=0.00939453, mean_dist=5.74513197, lr=0.000100, hard or full='full'
iter 221600:, hard_loss_metric=0.00000327, full_loss_metric=0.00020963, full_loss_num=0.01300781, mean_dist=5.75216532, lr=0.000100, hard or full='full'
iter 221800:, hard_loss_metric=0.00000114, full_loss_metric=0.00008914, full_loss_num=0.00310547, mean_dist=5.75932884, lr=0.000100, hard or full='full'
iter 222000:, hard_loss_metric=0.00000479, full_loss_metric=0.00031415, full_loss_num=0.02521484, mean_dist=5.76101065, lr=0.000100, hard or full='full'
iter 222200:, hard_loss_metric=0.00000918, full_loss_metric=0.00061899, full_loss_num=0.04119141, mean_dist=5.72342777, lr=0.000100, hard or full='full'
iter 222400:, hard_loss_metric=0.00001144, full_loss_metric=0.00061463, full_loss_num=0.08148438, mean_dist=5.75151110, lr=0.000100, hard or full='full'
iter 222600:, hard_loss_metric=0.00001601, full_loss_metric=0.00108278, full_loss_num=0.04701172, mean_dist=5.75307989, lr=0.000100, hard or full='full'
iter 222800:, hard_loss_metric=0.00003187, full_loss_metric=0.00171161, full_loss_num=0.15767579, mean_dist=5.77194834, lr=0.000100, hard or full='full'
iter 223000:, hard_loss_metric=0.00002171, full_loss_metric=0.00121169, full_loss_num=0.15271485, mean_dist=5.78196144, lr=0.000100, hard or full='full'
^[[A^Hiter 223200:, hard_loss_metric=0.00001083, full_loss_metric=0.00068481, full_loss_num=0.03734375, mean_dist=5.78557777, lr=0.000100, hard or full='full'
iter 223400:, hard_loss_metric=0.00000348, full_loss_metric=0.00023680, full_loss_num=0.01181641, mean_dist=5.70970964, lr=0.000100, hard or full='full'
iter 223600:, hard_loss_metric=0.00000189, full_loss_metric=0.00014868, full_loss_num=0.00445312, mean_dist=5.71418953, lr=0.000100, hard or full='full'
iter 223800:, hard_loss_metric=0.00000114, full_loss_metric=0.00008501, full_loss_num=0.00316406, mean_dist=5.74480343, lr=0.000100, hard or full='full'
0:25:53.035999
iter 224000:, hard_loss_metric=0.00030418, full_loss_metric=0.00418232, full_loss_num=2.60515618, mean_dist=5.73250961, lr=0.000100, hard or full='full'
iter 224200:, hard_loss_metric=0.00003460, full_loss_metric=0.00190184, full_loss_num=0.25466797, mean_dist=5.70179939, lr=0.000100, hard or full='full'
iter 224400:, hard_loss_metric=0.00000692, full_loss_metric=0.00049467, full_loss_num=0.02244141, mean_dist=5.70233727, lr=0.000100, hard or full='full'
iter 224600:, hard_loss_metric=0.00000109, full_loss_metric=0.00009400, full_loss_num=0.00216797, mean_dist=5.76789999, lr=0.000100, hard or full='full'
iter 224800:, hard_loss_metric=0.00000360, full_loss_metric=0.00023441, full_loss_num=0.01427734, mean_dist=5.75015688, lr=0.000100, hard or full='full'
iter 225000:, hard_loss_metric=0.00000077, full_loss_metric=0.00007865, full_loss_num=0.00119141, mean_dist=5.72601318, lr=0.000100, hard or full='full'
iter 225200:, hard_loss_metric=0.00000300, full_loss_metric=0.00021349, full_loss_num=0.00701172, mean_dist=5.73547602, lr=0.000100, hard or full='full'
iter 225400:, hard_loss_metric=0.00048680, full_loss_metric=0.01614044, full_loss_num=4.45855474, mean_dist=5.68415165, lr=0.000100, hard or full='full'
iter 225600:, hard_loss_metric=0.00066669, full_loss_metric=0.02429492, full_loss_num=5.59636736, mean_dist=5.65380001, lr=0.000100, hard or full='full'
iter 225800:, hard_loss_metric=0.00036068, full_loss_metric=0.01364095, full_loss_num=2.04984379, mean_dist=5.71715450, lr=0.000100, hard or full='full'
iter 226000:, hard_loss_metric=0.00010675, full_loss_metric=0.00556832, full_loss_num=0.57318360, mean_dist=5.72498655, lr=0.000100, hard or full='full'
iter 226200:, hard_loss_metric=0.00002170, full_loss_metric=0.00130681, full_loss_num=0.07916015, mean_dist=5.73073196, lr=0.000100, hard or full='full'
iter 226400:, hard_loss_metric=0.00003497, full_loss_metric=0.00175308, full_loss_num=0.26087892, mean_dist=5.70831966, lr=0.000100, hard or full='full'
iter 226600:, hard_loss_metric=0.00005652, full_loss_metric=0.00291684, full_loss_num=0.68912107, mean_dist=5.73509216, lr=0.000100, hard or full='full'
iter 226800:, hard_loss_metric=0.00019312, full_loss_metric=0.00818967, full_loss_num=1.16808593, mean_dist=5.69207287, lr=0.000100, hard or full='full'
iter 227000:, hard_loss_metric=0.00065946, full_loss_metric=0.01972236, full_loss_num=4.72205067, mean_dist=5.75113058, lr=0.000100, hard or full='full'
iter 227200:, hard_loss_metric=0.00025535, full_loss_metric=0.01151300, full_loss_num=2.23873043, mean_dist=5.71593618, lr=0.000100, hard or full='full'
iter 227400:, hard_loss_metric=0.00035030, full_loss_metric=0.01045945, full_loss_num=1.76662111, mean_dist=5.66352415, lr=0.000100, hard or full='full'
iter 227600:, hard_loss_metric=0.00024324, full_loss_metric=0.01149195, full_loss_num=2.16568351, mean_dist=5.66814804, lr=0.000100, hard or full='full'
iter 227800:, hard_loss_metric=0.00015360, full_loss_metric=0.00742295, full_loss_num=1.11656249, mean_dist=5.72794390, lr=0.000100, hard or full='full'
0:28:01.972299
iter 228000:, hard_loss_metric=0.00009727, full_loss_metric=0.00476225, full_loss_num=0.42357421, mean_dist=5.75798321, lr=0.000100, hard or full='full'
iter 228200:, hard_loss_metric=0.00003709, full_loss_metric=0.00230735, full_loss_num=0.10078125, mean_dist=5.78795147, lr=0.000100, hard or full='full'
