Training START
iter 8200:, hard_loss_metric=0.10149650, full_loss_metric=0.19463035, full_loss_num=829.50842285, mean_dist=3.58218813, lr=0.000100, hard or full='full'
iter 8400:, hard_loss_metric=0.11383272, full_loss_metric=0.20301715, full_loss_num=1091.78295898, mean_dist=3.57053781, lr=0.000100, hard or full='full'
iter 8600:, hard_loss_metric=0.10079911, full_loss_metric=0.20397392, full_loss_num=836.08404541, mean_dist=3.65467429, lr=0.000100, hard or full='full'
iter 8800:, hard_loss_metric=0.08808511, full_loss_metric=0.19550675, full_loss_num=718.81994629, mean_dist=3.70019221, lr=0.000100, hard or full='full'
0:27:20.222099
iter 9000:, hard_loss_metric=0.08791718, full_loss_metric=0.19350620, full_loss_num=729.93005371, mean_dist=3.72969627, lr=0.000100, hard or full='full'
iter 9200:, hard_loss_metric=0.09280260, full_loss_metric=0.19722298, full_loss_num=835.46087646, mean_dist=3.71720695, lr=0.000100, hard or full='full'
iter 9400:, hard_loss_metric=0.08282197, full_loss_metric=0.19736366, full_loss_num=689.71844482, mean_dist=3.70455456, lr=0.000100, hard or full='full'
iter 9600:, hard_loss_metric=0.07504752, full_loss_metric=0.18919419, full_loss_num=628.57476807, mean_dist=3.76424646, lr=0.000100, hard or full='full'
iter 9800:, hard_loss_metric=0.07732569, full_loss_metric=0.18943390, full_loss_num=626.44915771, mean_dist=3.86556220, lr=0.000100, hard or full='full'
iter 10000:, hard_loss_metric=0.08485834, full_loss_metric=0.19391823, full_loss_num=780.00494385, mean_dist=3.69106936, lr=0.000100, hard or full='full'
iter 10200:, hard_loss_metric=0.07126984, full_loss_metric=0.18509212, full_loss_num=562.30236816, mean_dist=3.84756780, lr=0.000100, hard or full='full'
iter 10400:, hard_loss_metric=0.07341844, full_loss_metric=0.19269894, full_loss_num=594.93243408, mean_dist=3.87846375, lr=0.000100, hard or full='full'
iter 10600:, hard_loss_metric=0.06824382, full_loss_metric=0.19142152, full_loss_num=560.57153320, mean_dist=3.88999414, lr=0.000100, hard or full='full'
iter 10800:, hard_loss_metric=0.07389650, full_loss_metric=0.18991463, full_loss_num=621.88427734, mean_dist=3.94079447, lr=0.000100, hard or full='full'
iter 11000:, hard_loss_metric=0.06817811, full_loss_metric=0.18445997, full_loss_num=563.64526367, mean_dist=3.88635254, lr=0.000100, hard or full='full'
iter 11200:, hard_loss_metric=0.06848682, full_loss_metric=0.18046352, full_loss_num=562.35467529, mean_dist=3.87610340, lr=0.000100, hard or full='full'
iter 11400:, hard_loss_metric=0.06515912, full_loss_metric=0.18701269, full_loss_num=513.22149658, mean_dist=3.95777249, lr=0.000100, hard or full='full'
iter 11600:, hard_loss_metric=0.06334396, full_loss_metric=0.18727717, full_loss_num=471.20147705, mean_dist=3.90697694, lr=0.000100, hard or full='full'
iter 11800:, hard_loss_metric=0.06000521, full_loss_metric=0.17874520, full_loss_num=441.82382202, mean_dist=3.94968987, lr=0.000100, hard or full='full'
0:27:18.760311
iter 12000:, hard_loss_metric=0.06091595, full_loss_metric=0.18309982, full_loss_num=522.72540283, mean_dist=3.96954656, lr=0.000100, hard or full='full'
iter 12200:, hard_loss_metric=0.05786283, full_loss_metric=0.17877449, full_loss_num=427.61077881, mean_dist=3.99758124, lr=0.000100, hard or full='full'
iter 12400:, hard_loss_metric=0.05238093, full_loss_metric=0.17556313, full_loss_num=397.44561768, mean_dist=4.03133345, lr=0.000100, hard or full='full'
iter 12600:, hard_loss_metric=0.05567670, full_loss_metric=0.17776577, full_loss_num=447.04608154, mean_dist=4.01497459, lr=0.000100, hard or full='full'
iter 12800:, hard_loss_metric=0.05478992, full_loss_metric=0.18623659, full_loss_num=410.18139648, mean_dist=4.05528259, lr=0.000100, hard or full='full'
iter 13000:, hard_loss_metric=0.04467572, full_loss_metric=0.17247570, full_loss_num=332.88336182, mean_dist=4.11074114, lr=0.000100, hard or full='full'
iter 13200:, hard_loss_metric=0.05245138, full_loss_metric=0.17879032, full_loss_num=398.10922241, mean_dist=4.10802555, lr=0.000100, hard or full='full'
iter 13400:, hard_loss_metric=0.04568673, full_loss_metric=0.17751049, full_loss_num=309.69589233, mean_dist=4.20211554, lr=0.000100, hard or full='full'
iter 13600:, hard_loss_metric=0.05747559, full_loss_metric=0.17919303, full_loss_num=463.10040283, mean_dist=4.11867619, lr=0.000100, hard or full='full'
iter 13800:, hard_loss_metric=0.05041854, full_loss_metric=0.17197859, full_loss_num=383.08016968, mean_dist=4.15295029, lr=0.000100, hard or full='full'
iter 14000:, hard_loss_metric=0.04399631, full_loss_metric=0.16611114, full_loss_num=323.20947266, mean_dist=4.11703300, lr=0.000100, hard or full='full'
iter 14200:, hard_loss_metric=0.04764668, full_loss_metric=0.17427212, full_loss_num=334.64227295, mean_dist=4.17379618, lr=0.000100, hard or full='full'
iter 14400:, hard_loss_metric=0.04909536, full_loss_metric=0.17659920, full_loss_num=377.30493164, mean_dist=4.13770962, lr=0.000100, hard or full='full'
iter 14600:, hard_loss_metric=0.03625411, full_loss_metric=0.15850884, full_loss_num=241.91841125, mean_dist=4.24548912, lr=0.000100, hard or full='full'
iter 14800:, hard_loss_metric=0.03725688, full_loss_metric=0.16330795, full_loss_num=265.94271851, mean_dist=4.30933332, lr=0.000100, hard or full='full'
0:27:17.752775
iter 15000:, hard_loss_metric=0.04189846, full_loss_metric=0.17694691, full_loss_num=322.76281738, mean_dist=4.18064928, lr=0.000100, hard or full='full'
iter 15200:, hard_loss_metric=0.03791882, full_loss_metric=0.16876167, full_loss_num=261.87896729, mean_dist=4.28086472, lr=0.000100, hard or full='full'
iter 15400:, hard_loss_metric=0.03794648, full_loss_metric=0.16752666, full_loss_num=272.81707764, mean_dist=4.26000404, lr=0.000100, hard or full='full'
iter 15600:, hard_loss_metric=0.03464558, full_loss_metric=0.16759473, full_loss_num=230.81527710, mean_dist=4.33260059, lr=0.000100, hard or full='full'
iter 15800:, hard_loss_metric=0.03231557, full_loss_metric=0.15630747, full_loss_num=230.85060120, mean_dist=4.38819981, lr=0.000100, hard or full='full'
iter 16000:, hard_loss_metric=0.03129374, full_loss_metric=0.15736887, full_loss_num=228.64195251, mean_dist=4.33468294, lr=0.000100, hard or full='full'
